name,min_time,max_time,delta
1_12_1073,1075,2395,1320
1_12_1152,1155,2395,1240
1_12_118,120,495,375
1_12_1266,1270,2395,1125
1_12_198,200,660,460
1_12_303,305,745,440
1_12_394,395,775,380
1_12_539,540,1145,605
1_12_564,565,1170,605
1_12_615,620,1350,730
1_12_691,695,1370,675
1_12_759,760,1690,930
1_12_808,810,2335,1525
1_12_867,870,2375,1505
1_12_934,935,2395,1460
1_17_1096,1100,2395,1295
1_17_1155,1160,2395,1235
1_17_354,355,820,465
1_17_382,385,825,440
1_17_407,410,1035,625
1_17_432,435,1040,605
1_17_539,540,1210,670
1_17_540,545,1220,675
1_17_574,575,1235,660
1_17_678,680,1415,735
1_6_1037,1040,2395,1355
1_6_1114,1115,2395,1280
1_6_124,125,575,450
1_6_201,205,735,530
1_6_302,305,810,505
1_6_542,545,1230,685
1_6_704,705,1755,1050
1_6_813,815,2395,1580
1_6_853,855,2395,1540
1_6_857,860,2395,1535
1_6_891,895,2395,1500
1_6_992,995,2395,1400
1_6_994,995,2395,1400
24_12_100,105,460,355
24_12_1028,1030,2395,1365
24_12_134,135,475,340
24_12_178,180,480,300
24_12_355,360,810,450
24_12_975,980,2395,1415
24_17_115,120,525,405
24_17_1207,1210,2395,1185
24_17_230,235,665,430
24_17_25,30,300,270
24_17_550,555,1435,880
24_17_565,570,1445,875
24_17_654,655,2260,1605
24_17_657,660,2265,1605
24_6_1170,1175,2395,1220
24_6_1193,1195,2395,1200
24_6_1203,1205,2395,1190
24_6_182,185,555,370
24_6_301,305,875,570
24_6_822,825,2395,1570
24_6_968,970,2395,1425
24_6_972,975,2395,1420
